Backends;URL;Timestamp;Response Time (ms);HTTP Code;Reason;Valid;Body Size (bytes)
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750260536.515975;142.18;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750260536.515975;200.29;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750260536.515975;112.28;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750260536.515975;108.76;200;OK;True;270
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750260536.515975;217.64;200;OK;True;3349
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750260536.515975;168.7;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750260536.515975;703.67;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750260536.515975;154.98;200;OK;True;3487
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750260536.515975;1408.62;200;OK;True;1169130
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750260536.515975;402.24;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750260536.515975;219.03;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750260536.515975;513.64;200;OK;True;1176966
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750260536.515975;165.06;200;OK;True;39327
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750260536.515975;510.86;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750260536.515975;250.24;200;OK;True;310810
vito;https://openeo.vito.be/openeo/collections;1750260536.515975;185.68;200;OK;True;184045
