workflow,extent_size,crs_strategy,mae_median,rmse_median,mae_min,mae_max,n_runs
filter_bbox,large,local_preprocessing,0.6286,1.008,0.5548,0.7024,2
filter_bbox,large,onthefly,0.9066,1.4896,0.7538,1.0593,2
filter_bbox,medium,local_preprocessing,0.8376,1.2453,0.6172,1.0579,2
filter_bbox,medium,onthefly,1.46,2.1886,1.0864,1.8336,2
filter_bbox,small,local_preprocessing,1.0242,1.4269,0.708,1.1847,3
filter_bbox,small,onthefly,1.5867,2.2662,1.2444,1.7732,3
filter_bbox,xlarge,local_preprocessing,0.5163,0.9669,0.5163,0.5163,1
filter_bbox,xlarge,onthefly,0.6416,1.1828,0.6416,0.6416,1
focal,large,local_preprocessing,1.4402,142.85,1.4402,1.4402,1
focal,large,onthefly,1.6819,142.7826,1.6819,1.6819,1
focal,medium,local_preprocessing,0.4211,6.1004,0.3318,0.4753,3
focal,medium,onthefly,0.581,1.5584,0.3799,0.8592,3
focal,small,local_preprocessing,0.7654,15.6421,0.7106,0.9335,3
focal,small,onthefly,0.8488,3.4455,0.7887,1.3451,3
focal,xlarge,local_preprocessing,21.7197,547.5093,10.4879,32.9515,2
focal,xlarge,onthefly,19.6152,554.4693,0.3738,38.8566,2
mask,large,local_preprocessing,0.6315,1.5182,0.4993,0.7637,2
mask,large,onthefly,0.8709,1.6514,0.6827,1.0775,3
mask,medium,local_preprocessing,0.8368,1.2155,0.6735,0.9261,3
mask,medium,onthefly,1.4672,2.1375,1.2088,1.6631,3
mask,small,local_preprocessing,0.9722,1.3608,0.7219,1.056,3
mask,small,onthefly,1.4975,2.1488,1.2641,1.5808,3
mask,xlarge,local_preprocessing,0.3983,0.8742,0.3404,0.4563,2
mask,xlarge,onthefly,0.5271,1.1802,0.4874,0.5669,2
merge_add,large,local_preprocessing,0.7332,1.34,0.4918,2.1235,3
merge_add,large,onthefly,0.8634,1.646,0.6721,2.0271,3
merge_add,medium,local_preprocessing,0.8253,1.2225,0.6211,0.9458,3
merge_add,medium,onthefly,1.4463,2.1501,1.1176,1.6967,3
merge_add,small,local_preprocessing,0.9955,1.3998,0.618,1.0836,3
merge_add,small,onthefly,1.5368,2.2141,1.0842,1.6206,3
merge_add,xlarge,local_preprocessing,0.6273,47.9457,0.6273,0.6273,1
merge_add,xlarge,onthefly,0.6643,3.5626,0.6643,0.6643,1
subtract,large,local_preprocessing,0.7332,1.34,0.4918,2.1235,3
subtract,large,onthefly,0.8634,1.646,0.6721,2.027,3
subtract,medium,local_preprocessing,0.8253,1.2225,0.6211,0.9458,3
subtract,medium,onthefly,1.4463,2.1501,1.1176,1.6967,3
subtract,small,local_preprocessing,0.9955,1.3998,0.618,1.0836,3
subtract,small,onthefly,1.5368,2.2141,1.0842,1.6206,3
subtract,xlarge,local_preprocessing,0.4838,24.3211,0.3403,0.6273,2
subtract,xlarge,onthefly,0.5761,2.3213,0.488,0.6643,2
