Backends,URL
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/.well-known/openeo
eodc,https://openeo.eodc.eu/.well-known/openeo
openeo-platform,https://openeocloud.vito.be/.well-known/openeo
vito,https://openeo.vito.be/.well-known/openeo
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/openeo/
eodc,https://openeo.eodc.eu/openeo/1.2.0/
openeo-platform,https://openeocloud.vito.be/openeo/1.2/
vito,https://openeo.vito.be/openeo/
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/openeo/processes
eodc,https://openeo.eodc.eu/openeo/1.2.0/processes
openeo-platform,https://openeocloud.vito.be/openeo/1.2/processes
vito,https://openeo.vito.be/openeo/processes
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/openeo/collections
eodc,https://openeo.eodc.eu/openeo/1.2.0/collections
openeo-platform,https://openeocloud.vito.be/openeo/1.2/collections
vito,https://openeo.vito.be/openeo/collections
