run_id,block,region,crs_strategy,workflow,extent_size,wiederholung,run_type
879,A1,berlin,local_reference,merge_add,medium,1,cold
880,A1,berlin,onthefly,merge_add,medium,1,cold
881,A1,berlin,onthefly,merge_add,medium,2,hot
882,A1,berlin,onthefly,merge_add,medium,3,hot
883,A1,berlin,local_preprocessing,merge_add,medium,1,cold
884,A1,berlin,local_preprocessing,merge_add,medium,2,hot
885,A1,berlin,local_preprocessing,merge_add,medium,3,hot
886,A1,berlin,local_reference,subtract,medium,1,cold
887,A1,berlin,onthefly,subtract,medium,1,cold
888,A1,berlin,onthefly,subtract,medium,2,hot
889,A1,berlin,onthefly,subtract,medium,3,hot
890,A1,berlin,local_preprocessing,subtract,medium,1,cold
891,A1,berlin,local_preprocessing,subtract,medium,2,hot
892,A1,berlin,local_preprocessing,subtract,medium,3,hot
893,A1,berlin,local_reference,mask,medium,1,cold
894,A1,berlin,onthefly,mask,medium,1,cold
895,A1,berlin,onthefly,mask,medium,2,hot
896,A1,berlin,onthefly,mask,medium,3,hot
897,A1,berlin,local_preprocessing,mask,medium,1,cold
898,A1,berlin,local_preprocessing,mask,medium,2,hot
899,A1,berlin,local_preprocessing,mask,medium,3,hot
900,A1,berlin,local_reference,aggregation,medium,1,cold
901,A1,berlin,onthefly,aggregation,medium,1,cold
902,A1,berlin,onthefly,aggregation,medium,2,hot
903,A1,berlin,onthefly,aggregation,medium,3,hot
904,A1,berlin,local_preprocessing,aggregation,medium,1,cold
905,A1,berlin,local_preprocessing,aggregation,medium,2,hot
906,A1,berlin,local_preprocessing,aggregation,medium,3,hot
907,A1,berlin,local_reference,focal,medium,1,cold
908,A1,berlin,onthefly,focal,medium,1,cold
909,A1,berlin,onthefly,focal,medium,2,hot
910,A1,berlin,onthefly,focal,medium,3,hot
911,A1,berlin,local_preprocessing,focal,medium,1,cold
912,A1,berlin,local_preprocessing,focal,medium,2,hot
913,A1,berlin,local_preprocessing,focal,medium,3,hot
914,A1,berlin,local_reference,resample,medium,1,cold
915,A1,berlin,onthefly,resample,medium,1,cold
916,A1,berlin,onthefly,resample,medium,2,hot
917,A1,berlin,onthefly,resample,medium,3,hot
918,A1,berlin,local_preprocessing,resample,medium,1,cold
919,A1,berlin,local_preprocessing,resample,medium,2,hot
920,A1,berlin,local_preprocessing,resample,medium,3,hot
921,A1,berlin,local_reference,filter_bbox,medium,1,cold
922,A1,berlin,onthefly,filter_bbox,medium,1,cold
923,A1,berlin,onthefly,filter_bbox,medium,2,hot
924,A1,berlin,onthefly,filter_bbox,medium,3,hot
925,A1,berlin,local_preprocessing,filter_bbox,medium,1,cold
926,A1,berlin,local_preprocessing,filter_bbox,medium,2,hot
927,A1,berlin,local_preprocessing,filter_bbox,medium,3,hot
930,A2,hamburg,local_reference,merge_add,medium,1,cold
931,A2,hamburg,onthefly,merge_add,medium,1,cold
932,A2,hamburg,onthefly,merge_add,medium,2,hot
933,A2,hamburg,onthefly,merge_add,medium,3,hot
934,A2,hamburg,local_preprocessing,merge_add,medium,1,cold
935,A2,hamburg,local_preprocessing,merge_add,medium,2,hot
936,A2,hamburg,local_preprocessing,merge_add,medium,3,hot
937,A2,hamburg,local_reference,subtract,medium,1,cold
938,A2,hamburg,onthefly,subtract,medium,1,cold
939,A2,hamburg,onthefly,subtract,medium,2,hot
940,A2,hamburg,onthefly,subtract,medium,3,hot
941,A2,hamburg,local_preprocessing,subtract,medium,1,cold
942,A2,hamburg,local_preprocessing,subtract,medium,2,hot
943,A2,hamburg,local_preprocessing,subtract,medium,3,hot
944,A2,hamburg,local_reference,mask,medium,1,cold
945,A2,hamburg,onthefly,mask,medium,1,cold
946,A2,hamburg,onthefly,mask,medium,2,hot
947,A2,hamburg,onthefly,mask,medium,3,hot
948,A2,hamburg,local_preprocessing,mask,medium,1,cold
949,A2,hamburg,local_preprocessing,mask,medium,2,hot
950,A2,hamburg,local_preprocessing,mask,medium,3,hot
951,A2,hamburg,local_reference,aggregation,medium,1,cold
952,A2,hamburg,onthefly,aggregation,medium,1,cold
953,A2,hamburg,onthefly,aggregation,medium,2,hot
954,A2,hamburg,onthefly,aggregation,medium,3,hot
955,A2,hamburg,local_preprocessing,aggregation,medium,1,cold
956,A2,hamburg,local_preprocessing,aggregation,medium,2,hot
957,A2,hamburg,local_preprocessing,aggregation,medium,3,hot
958,A2,hamburg,local_reference,focal,medium,1,cold
959,A2,hamburg,onthefly,focal,medium,1,cold
960,A2,hamburg,onthefly,focal,medium,2,hot
961,A2,hamburg,onthefly,focal,medium,3,hot
962,A2,hamburg,local_preprocessing,focal,medium,1,cold
963,A2,hamburg,local_preprocessing,focal,medium,2,hot
964,A2,hamburg,local_preprocessing,focal,medium,3,hot
965,A2,hamburg,local_reference,resample,medium,1,cold
966,A2,hamburg,onthefly,resample,medium,1,cold
967,A2,hamburg,onthefly,resample,medium,2,hot
968,A2,hamburg,onthefly,resample,medium,3,hot
969,A2,hamburg,local_preprocessing,resample,medium,1,cold
970,A2,hamburg,local_preprocessing,resample,medium,2,hot
971,A2,hamburg,local_preprocessing,resample,medium,3,hot
972,A2,hamburg,local_reference,filter_bbox,medium,1,cold
973,A2,hamburg,onthefly,filter_bbox,medium,1,cold
974,A2,hamburg,onthefly,filter_bbox,medium,2,hot
975,A2,hamburg,onthefly,filter_bbox,medium,3,hot
976,A2,hamburg,local_preprocessing,filter_bbox,medium,1,cold
977,A2,hamburg,local_preprocessing,filter_bbox,medium,2,hot
978,A2,hamburg,local_preprocessing,filter_bbox,medium,3,hot
979,B,wien,onthefly,merge_add,medium,1,cold
980,B,wien,onthefly,merge_add,medium,2,hot
981,B,wien,onthefly,merge_add,medium,3,hot
982,B,wien,local_preprocessing,merge_add,medium,1,cold
983,B,wien,local_preprocessing,merge_add,medium,2,hot
984,B,wien,local_preprocessing,merge_add,medium,3,hot
985,B,amsterdam,local_reference,merge_add,medium,1,cold
986,B,amsterdam,onthefly,merge_add,medium,1,cold
987,B,amsterdam,onthefly,merge_add,medium,2,hot
988,B,amsterdam,onthefly,merge_add,medium,3,hot
989,B,amsterdam,local_preprocessing,merge_add,medium,1,cold
990,B,amsterdam,local_preprocessing,merge_add,medium,2,hot
991,B,amsterdam,local_preprocessing,merge_add,medium,3,hot
992,B,rom,local_reference,merge_add,medium,1,cold
993,B,rom,onthefly,merge_add,medium,1,cold
994,B,rom,onthefly,merge_add,medium,2,hot
995,B,rom,onthefly,merge_add,medium,3,hot
996,B,rom,local_preprocessing,merge_add,medium,1,cold
997,B,rom,local_preprocessing,merge_add,medium,2,hot
998,B,rom,local_preprocessing,merge_add,medium,3,hot
999,B,zuerich,local_reference,merge_add,medium,1,cold
1000,B,zuerich,onthefly,merge_add,medium,1,cold
1001,B,zuerich,onthefly,merge_add,medium,2,hot
1002,B,zuerich,onthefly,merge_add,medium,3,hot
1003,B,zuerich,local_preprocessing,merge_add,medium,1,cold
1004,B,newyork,onthefly,merge_add,medium,1,cold
1005,B,newyork,onthefly,merge_add,medium,2,hot
1006,B,newyork,onthefly,merge_add,medium,3,hot
1007,B,newyork,local_preprocessing,merge_add,medium,1,cold
1008,B,newyork,local_preprocessing,merge_add,medium,2,hot
1009,B,newyork,local_preprocessing,merge_add,medium,3,hot
1010,B,kapstadt,local_reference,merge_add,medium,1,cold
1011,B,kapstadt,onthefly,merge_add,medium,1,cold
1012,B,kapstadt,onthefly,merge_add,medium,2,hot
1013,B,kapstadt,onthefly,merge_add,medium,3,hot
1014,B,kapstadt,local_preprocessing,merge_add,medium,1,cold
1015,B,kapstadt,local_preprocessing,merge_add,medium,2,hot
1016,B,kapstadt,local_preprocessing,merge_add,medium,3,hot
1017,B,tokio,local_reference,merge_add,medium,1,cold
1018,B,tokio,onthefly,merge_add,medium,1,cold
1019,B,tokio,onthefly,merge_add,medium,2,hot
1020,B,tokio,onthefly,merge_add,medium,3,hot
1021,B,tokio,local_preprocessing,merge_add,medium,1,cold
1022,B,tokio,local_preprocessing,merge_add,medium,2,hot
1023,B,tokio,local_preprocessing,merge_add,medium,3,hot
1024,B,wien,local_reference,merge_add,medium,1,cold
1025,B,wien,onthefly,merge_add,medium,1,cold
1026,B,wien,onthefly,merge_add,medium,2,hot
1027,B,wien,onthefly,merge_add,medium,3,hot
1028,B,wien,local_preprocessing,merge_add,medium,1,cold
1029,B,wien,local_preprocessing,merge_add,medium,2,hot
1030,B,wien,local_preprocessing,merge_add,medium,3,hot
1031,B,newyork,local_reference,merge_add,medium,1,cold
1032,B,newyork,onthefly,merge_add,medium,1,cold
1033,B,newyork,onthefly,merge_add,medium,2,hot
1034,B,newyork,onthefly,merge_add,medium,3,hot
1035,B,newyork,local_preprocessing,merge_add,medium,1,cold
1036,B,newyork,local_preprocessing,merge_add,medium,2,hot
1037,B,newyork,local_preprocessing,merge_add,medium,3,hot
1038,B,zuerich,local_reference,merge_add,medium,1,cold
1039,B,zuerich,onthefly,merge_add,medium,1,cold
