_folder,_backend,download_time [seconds],job_execution_time [seconds],processing_time [seconds],queue_time [seconds],submit_time [seconds],tiff_count [files],total_time [seconds]
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250621162254,Earth Engine,0.29984092712402344,7.629956960678101,7.524094,,0.15343832969665527,1,8.350017786026001
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250621184416,Earth Engine,0.2755422592163086,7.636516809463501,7.525344,,0.14669418334960938,1,8.268372058868408
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250621222753,Earth Engine,0.27963805198669434,19.013550281524658,18.885392,,0.15543031692504883,1,19.70522141456604
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250622063043,Earth Engine,0.27492642402648926,7.634324550628662,7.524779,,0.14249300956726074,1,8.345122337341309
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250623135441,Earth Engine,0.31619954109191895,7.673961400985718,7.529435,,0.15926265716552734,1,8.552735567092896
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250623165001,Earth Engine,0.24010753631591797,7.629283905029297,7.524179,,0.14955592155456543,1,8.282938957214355
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250623195002,Earth Engine,0.26534438133239746,7.6500630378723145,7.524287,,0.1503596305847168,1,8.293188571929932
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250623225002,Earth Engine,0.2762618064880371,7.649368524551392,7.5274,,0.14829373359680176,1,8.289426326751709
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250624015002,Earth Engine,0.30892419815063477,7.634995222091675,7.524907,,0.15716838836669922,1,8.340209245681763
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250624045002,Earth Engine,0.2472245693206787,7.643000841140747,7.526918,,0.15984511375427246,1,8.268294095993042
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250624075001,Earth Engine,0.2508869171142578,7.649913787841797,7.527404,,0.160691499710083,1,8.26364278793335
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250624105001,Earth Engine,0.29373693466186523,7.675304412841797,7.525046,,0.16465449333190918,1,8.365640878677368
earthengine_openeo_org_bratislava_10km_2020_earthengine_20250624135002,Earth Engine,0.2504274845123291,7.662237167358398,7.52493,,0.15796136856079102,1,8.304685115814209
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250621161142,CDSE,157.97917342185974,226.16475868225098,194.013088,,0.5072879791259766,24,385.71625685691833
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250621183615,CDSE,145.66177034378052,255.88460493087769,206.607558,,0.48404908180236816,24,402.97617077827454
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250621221323,CDSE,141.90974831581116,256.07988834381104,206.883132,,0.5153770446777344,24,399.5984790325165
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250622054656,CDSE,147.9271469116211,256.1499001979828,180.790497,61.591472,0.7355787754058838,24,405.54597544670105
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250623164001,CDSE,135.5696096420288,287.01191210746765,,,0.5473964214324951,24,423.9590017795563
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250623194001,CDSE,152.05339765548706,291.16254210472107,213.753775,,0.5469765663146973,24,444.6535315513611
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250623224002,CDSE,144.042409658432,315.74948740005493,180.798349,102.703108,0.4370250701904297,24,461.1594138145447
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250624014001,CDSE,142.31012296676636,255.2754189968109,150.667154,91.723389,0.4473228454589844,24,398.8990399837494
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250624044002,CDSE,129.8503701686859,406.38412284851074,271.584673,,0.5435113906860352,24,537.646425485611
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250624074002,CDSE,163.71425914764404,472.1567404270172,307.728917,,0.50467848777771,24,637.190327167511
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250624104000,CDSE,135.4565019607544,406.34684586524963,241.105523,,0.349534273147583,24,543.0294122695923
openeo_dataspace_copernicus_eu_bratislava_10km_2020_cdse_20250624134001,CDSE,129.46892166137695,318.7691297531128,213.563066,,0.4828763008117676,24,449.63824462890625
openeo_eodc_eu_bratislava_10km_2020_eodc_20250621161808,EODC,,282.3912191390991,,126.155844,1.547370195388794,0,285.6908829212189
openeo_eodc_eu_bratislava_10km_2020_eodc_20250621184258,EODC,,74.28381252288818,,19.992379,1.4521982669830322,0,77.31555032730103
openeo_eodc_eu_bratislava_10km_2020_eodc_20250621222003,EODC,,465.3321328163147,425.148295,37.890006,1.5135133266448975,0,469.1238503456116
openeo_eodc_eu_bratislava_10km_2020_eodc_20250622055342,EODC,,2216.3144631385803,,,1.6213476657867432,0,2220.8463609218597
openeo_eodc_eu_bratislava_10km_2020_eodc_20250623164501,EODC,,,,,1.5842645168304443,0,6.696195363998413
openeo_eodc_eu_bratislava_10km_2020_eodc_20250623194502,EODC,,,,,1.5994107723236084,0,3.7859928607940674
openeo_eodc_eu_bratislava_10km_2020_eodc_20250623224502,EODC,,,,,1.4507091045379639,0,4.014090538024902
openeo_eodc_eu_bratislava_10km_2020_eodc_20250624014502,EODC,,3627.641830921173,,,1.4702491760253906,0,3630.9093120098114
openeo_eodc_eu_bratislava_10km_2020_eodc_20250624044502,EODC,,3629.2753500938416,,,1.5880417823791504,0,3633.312868118286
openeo_eodc_eu_bratislava_10km_2020_eodc_20250624074501,EODC,,3628.4934890270233,,,1.3430347442626953,0,3631.824036359787
openeo_eodc_eu_bratislava_10km_2020_eodc_20250624104501,EODC,,3625.829783678055,,,1.2889087200164795,0,3629.0341205596924
openeo_eodc_eu_bratislava_10km_2020_eodc_20250624134502,EODC,,3603.6741540431976,,,2.0455756187438965,0,3607.5591616630554
openeo_vito_be_bratislava_10km_2020_vito_20250621162742,VITO,39.1115939617157,292.9970636367798,210.667384,53.790822,0.4865250587463379,24,333.4391176700592
openeo_vito_be_bratislava_10km_2020_vito_20250621184951,VITO,34.942442417144775,294.7652268409729,150.517008,84.105462,0.6449522972106934,24,331.2660114765167
openeo_vito_be_bratislava_10km_2020_vito_20250621223410,VITO,37.196829080581665,270.9143097400665,150.529898,83.818832,0.5435972213745117,24,309.4526674747467
openeo_vito_be_bratislava_10km_2020_vito_20250622063554,VITO,38.262717962265015,226.12079620361328,150.45808,53.751107,0.6512808799743652,24,266.17514538764954
openeo_vito_be_bratislava_10km_2020_vito_20250623170002,VITO,,,,,0.5314719676971436,0,2.1615524291992188
openeo_vito_be_bratislava_10km_2020_vito_20250623200002,VITO,,,,,0.5216631889343262,0,2.0172438621520996
openeo_vito_be_bratislava_10km_2020_vito_20250623230001,VITO,37.10216999053955,260.3163146972656,150.585024,84.111896,0.5420935153961182,24,298.9631145000458
openeo_vito_be_bratislava_10km_2020_vito_20250624020002,VITO,32.9499876499176,228.21287870407104,176.575592,28.29548,0.504685640335083,24,262.70217871665955
openeo_vito_be_bratislava_10km_2020_vito_20250624050002,VITO,31.26284432411194,256.89504289627075,180.678642,53.711509,0.6126515865325928,24,289.76931142807007
openeo_vito_be_bratislava_10km_2020_vito_20250624080002,VITO,37.978185176849365,227.18290495872498,150.495607,53.731444,0.6332650184631348,24,266.7971465587616
