block,region,run_id,timestamp,crs_strategy,workflow,extent_size,run_type,resolution_m,dataset,queue_time,processing_time,job_execution_time,download_time,total_time,preprocessing_time,credits,cpu_seconds,input_pixels_mp,output_crs,dem_format,dem_layout,local_resampling,git_commit,mae,rmse
A1,berlin,879,2026-08-19T16:12:27.570865,local_reference,merge_add,medium,cold,10.0,dem,,,,,297.4020621776581,297.4020621776581,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A1,berlin,880,2026-08-19T16:14:30.205421,onthefly,merge_add,medium,cold,10.0,dem,36.021615,67.052727,111.76664328575134,7.263595104217529,120.71166396141052,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6966724373075104,2.4244585010084094
A1,berlin,881,2026-08-19T16:17:33.506736,onthefly,merge_add,medium,hot,10.0,dem,36.941679,125.814014,170.818101644516,8.109700202941895,180.83671736717224,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6966724373075104,2.4244585010084094
A1,berlin,882,2026-08-19T16:20:31.015801,onthefly,merge_add,medium,hot,10.0,dem,42.470349,121.102389,166.88881039619446,8.086201429367065,176.17008686065674,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6966724373075104,2.4244585010084094
A1,berlin,883,2026-08-19T16:24:28.893249,local_preprocessing,merge_add,medium,cold,10.0,dem,46.283105,62.583219,114.180016040802,8.23119330406189,127.1334285736084,2.3504412174224854,4.0,162.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0012808556774347956,0.0017769893379381099
A1,berlin,884,2026-08-19T16:28:30.118587,local_preprocessing,merge_add,medium,hot,10.0,dem,41.286903,63.506825,112.21743512153625,8.467444896697998,124.3405077457428,2.179563045501709,4.0,162.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0012808556774347956,0.0017769893379381099
A1,berlin,885,2026-08-19T16:32:37.975463,local_preprocessing,merge_add,medium,hot,10.0,dem,47.190149,72.071187,122.4407606124878,8.494173765182495,134.3924400806427,2.2203478813171387,4.0,48.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0012808556774347956,0.0017769893379381099
A1,berlin,886,2026-08-19T16:37:24.231323,local_reference,subtract,medium,cold,10.0,dem,,,,,270.9829521179199,270.9829521179199,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A1,berlin,887,2026-08-19T16:39:37.258765,onthefly,subtract,medium,cold,10.0,dem,47.525345,70.968051,121.84245920181274,8.177595376968384,131.30193495750427,,4.0,48.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6966724223554361,2.4244584844895707
A1,berlin,888,2026-08-19T16:42:33.173151,onthefly,subtract,medium,hot,10.0,dem,31.857825,123.625884,164.24018955230713,8.158201932907104,174.13812828063965,,4.0,90.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6966724223554361,2.4244584844895707
A1,berlin,889,2026-08-19T16:44:32.134427,onthefly,subtract,medium,hot,10.0,dem,42.60122,63.117667,109.23136711120605,6.689532041549683,117.69913983345032,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6966724223554361,2.4244584844895707
A1,berlin,890,2026-08-19T16:49:30.431584,local_preprocessing,subtract,medium,cold,10.0,dem,53.728896,121.264461,177.71287035942078,8.289294242858887,190.3830714225769,2.2155351638793945,4.0,162.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0012808545197684528,0.0017768152299498913
A1,berlin,891,2026-08-19T16:53:33.814162,local_preprocessing,subtract,medium,hot,10.0,dem,48.253717,68.831521,120.27357840538025,8.280959367752075,132.05672025680542,2.2323367595672607,4.0,108.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0012808545197684528,0.0017768152299498913
A1,berlin,892,2026-08-19T16:57:30.869840,local_preprocessing,subtract,medium,hot,10.0,dem,46.869046,62.809485,118.41924953460693,9.320876836776733,131.94142651557922,2.2125420570373535,4.0,78.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0012808545197684528,0.0017768152299498913
A1,berlin,893,2026-08-19T17:02:28.921605,local_reference,mask,medium,cold,10.0,dem,,,,,282.3728518486023,282.3728518486023,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A1,berlin,894,2026-08-19T17:05:32.182017,onthefly,mask,medium,cold,10.0,dem,37.098322,130.626716,175.47556924819946,4.595898151397705,181.63857865333557,,4.0,162.0,40.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6630734308395834,2.3642021571213245
A1,berlin,895,2026-08-19T17:08:30.003800,onthefly,mask,medium,hot,10.0,dem,32.96878,127.04442,169.3384439945221,5.347566604614258,176.16267609596252,,4.0,162.0,40.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6630734308395834,2.3642021571213245
A1,berlin,896,2026-08-19T17:10:28.225988,onthefly,mask,medium,hot,10.0,dem,38.837879,68.333043,109.88106775283813,5.350818157196045,116.80146765708923,,4.0,162.0,40.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.6630734308395834,2.3642021571213245
A1,berlin,897,2026-08-19T17:14:27.680154,local_preprocessing,mask,medium,cold,10.0,dem,41.608042,68.434094,118.8587212562561,4.99841046333313,128.03898859024048,2.2372634410858154,4.0,162.0,41.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.001249105508815763,0.0017228757881318298
A1,berlin,898,2026-08-19T17:18:25.451221,local_preprocessing,mask,medium,hot,10.0,dem,42.212609,63.689504,113.842538356781,5.58693528175354,123.12033700942993,2.19789457321167,4.0,162.0,41.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.001249105508815763,0.0017228757881318298
A1,berlin,899,2026-08-19T17:22:30.820778,local_preprocessing,mask,medium,hot,10.0,dem,36.357856,72.593685,118.31958961486816,5.220675468444824,127.49958181381226,2.168945074081421,4.0,117.0,41.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.001249105508815763,0.0017228757881318298
