block,run_id,timestamp,crs_strategy,workflow,extent_size,run_type,resolution_m,dataset,dem_format,dem_layout,save_format,asset_bytes,queue_time,processing_time,job_execution_time,download_time,total_time,preprocessing_time,credits,cpu_seconds,input_pixels_mp,output_crs,local_resampling,git_commit,status,error,num_output_files
G,1143,2026-08-27T19:17:20.793074,full_preprocessing,merge_add,small,cold,10.0,dem,,,GTiff,9540450,67.606092,,137.23164987564087,,162.334077835083,23.66075348854065,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1144,2026-08-27T19:24:21.413326,full_preprocessing,merge_add,small,hot,10.0,dem,,,GTiff,9540450,72.170871,,147.18074440956116,,173.06932735443115,24.717719316482544,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1145,2026-08-27T19:32:24.309316,full_preprocessing,merge_add,small,hot,10.0,dem,,,GTiff,9540450,10.26687,,151.525794506073,,176.17177844047546,23.42850136756897,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1146,2026-08-27T19:44:54.394519,full_preprocessing,merge_add,medium,cold,10.0,dem,,,GTiff,42789204,136.082492,217.817097,356.60541820526123,,426.23458099365234,26.42053532600403,4.0,324.0,40.640625,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Download fehlgeschlagen nach 5 Versuchen: Keine Assets in Job-Results von Job j-2608271938154de6a6f8c9d13b8bb240 - nichts zum Herunterladen.,0
G,1147,2026-08-27T19:53:47.657031,full_preprocessing,merge_add,medium,hot,10.0,dem,,,GTiff,42789204,47.251898,,173.7858645915985,,201.13388657569885,26.083383560180664,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1148,2026-08-27T20:05:22.569086,full_preprocessing,merge_add,medium,hot,10.0,dem,,,GTiff,42789204,67.627542,,262.15856647491455,,289.3069818019867,25.924561500549316,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1149,2026-08-27T20:19:29.812811,full_preprocessing,merge_add,large,cold,10.0,dem,,,GTiff,1053828012,41.664776,,292.20049953460693,,349.87966990470886,56.61378574371338,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1150,2026-08-27T20:43:20.631448,full_preprocessing,merge_add,large,hot,10.0,dem,,,GTiff,1053828012,36.363042,,231.44358372688293,,287.2440402507782,54.85832238197327,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1151,2026-08-27T21:07:19.973046,full_preprocessing,merge_add,large,hot,10.0,dem,,,GTiff,1053828012,46.476709,,235.3263041973114,,291.3223171234131,54.84599828720093,,,,,bilinear,e73edae264259b0db6c986775c58b643addc512a,failed,Job ended with status: error,0
G,1153,2026-08-29T20:18:16.912244,full_preprocessing,merge_add,small,cold,10.0,dem,,,netCDF,9540450,83.139281,51.791357,138.16379714012146,1.390493631362915,161.86311793327332,20.975853443145752,4.0,108.0,4.25830078125,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1154,2026-08-29T20:24:18.937922,full_preprocessing,merge_add,small,hot,10.0,dem,,,netCDF,9540450,21.951847,62.284442,87.27908778190613,1.8673715591430664,110.86527514457703,20.338640451431274,9.0,5400.0,4.25830078125,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1155,2026-08-29T20:30:13.799416,full_preprocessing,merge_add,small,hot,10.0,dem,,,netCDF,9540450,20.85635,62.295858,85.97998332977295,1.483583927154541,110.37134146690369,21.72878336906433,9.0,5400.0,4.25830078125,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1156,2026-08-29T20:38:28.002587,full_preprocessing,merge_add,medium,cold,10.0,dem,,,netCDF,42789204,21.061242,129.494072,153.69387555122375,5.7083353996276855,185.17006397247314,24.45796799659729,9.0,5400.0,19.19140625,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1157,2026-08-29T20:47:30.496854,full_preprocessing,merge_add,medium,hot,10.0,dem,,,netCDF,42789204,20.659558,134.089952,161.9095606803894,5.189346790313721,190.81357717514038,22.49792718887329,4.0,90.0,19.19140625,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1158,2026-08-29T20:54:19.721513,full_preprocessing,merge_add,medium,hot,10.0,dem,,,netCDF,42789204,20.563264,118.531737,141.3379843235016,5.423905849456787,171.07584476470947,23.09743046760559,9.0,5400.0,19.19140625,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1159,2026-08-29T21:15:49.905992,full_preprocessing,merge_add,large,cold,10.0,dem,,,netCDF,1053828012,41.570243,664.851617,708.9137699604034,91.08591508865356,851.2316024303436,49.84327435493469,15.0,4248.0,474.73095703125,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1160,2026-08-29T21:44:29.027005,full_preprocessing,merge_add,large,hot,10.0,dem,,,netCDF,1053828012,51.621317,479.083051,533.974796295166,74.23350405693054,657.140594959259,47.718217611312866,13.0,3234.0,474.73095703125,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
G,1161,2026-08-29T22:13:00.857770,full_preprocessing,merge_add,large,hot,10.0,dem,,,netCDF,1053828012,62.086535,487.144461,552.2170562744141,93.19667172431946,694.2341721057892,47.58450698852539,12.0,2745.0,474.73095703125,32633,bilinear,e73edae264259b0db6c986775c58b643addc512a,success,,1
