_folder,_backend,download_time [seconds],job_execution_time [seconds],processing_time [seconds],queue_time [seconds],submit_time [seconds],tiff_count [files],total_time [seconds]
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250622174259,Earth Engine,,7.633508205413818,,,0.16187024116516113,0,8.044310092926025
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250622174514,Earth Engine,0.15236687660217285,7.632140398025513,7.524471,,0.16821646690368652,1,8.143723487854004
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250623155502,Earth Engine,0.1668860912322998,7.638037204742432,7.526758,,0.19313359260559082,1,8.207700967788696
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250623185502,Earth Engine,,7.643681287765503,,,0.20234251022338867,0,8.110660552978516
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250623215502,Earth Engine,0.15114212036132812,7.629546403884888,7.523881,,0.19282031059265137,1,8.220197677612305
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250624035502,Earth Engine,0.1755051612854004,7.651512145996094,7.525617,,0.1980903148651123,1,8.237875938415527
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250624065501,Earth Engine,0.17998695373535156,7.653807163238525,7.525739,,0.19540190696716309,1,8.21849775314331
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250624095502,Earth Engine,0.18544602394104004,7.653032064437866,7.525297,,0.19403791427612305,1,8.23830771446228
earthengine_openeo_org_ndvi_median_bratislava_10km_2024_earthengine_20250624125501,Earth Engine,0.1735696792602539,7.643528938293457,7.530052,,0.20383024215698242,1,13.273557901382446
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250623112930,CDSE,,,,,,0,
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250623114542,CDSE,2.8969476222991943,228.64900064468384,121.630762,72.832389,0.4600646495819092,1,232.8974301815033
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250623154502,CDSE,3.734583854675293,467.7355377674103,392.764638,,0.48103833198547363,1,472.89339566230774
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250623184502,CDSE,4.598005533218384,288.71897530555725,,,0.8392720222473145,1,295.7562336921692
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250623214502,CDSE,3.5125112533569336,286.82236647605896,150.636588,,0.43318629264831543,1,291.6103847026825
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250624034502,CDSE,3.7646915912628174,225.9095160961151,120.461201,,0.6197564601898193,1,231.26972222328186
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250624064502,CDSE,3.305666446685791,315.4475328922272,180.908815,114.442444,0.48162174224853516,1,320.0809271335602
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250624094502,CDSE,3.8465168476104736,286.01718521118164,151.047649,,2.4811320304870605,1,293.28041100502014
openeo_dataspace_copernicus_eu_ndvi_median_bratislava_10km_2024_cdse_20250624124501,CDSE,2.0633463859558105,255.9565212726593,150.80828,,0.4649639129638672,1,259.3218057155609
openeo_eodc_eu_ndvi_median_bratislava_10km_2024_eodc_20250623155002,EODC,,,,,1.5679237842559814,0,4.2326438426971436
openeo_eodc_eu_ndvi_median_bratislava_10km_2024_eodc_20250623185002,EODC,,,,,1.673389196395874,0,4.09585165977478
openeo_eodc_eu_ndvi_median_bratislava_10km_2024_eodc_20250623215002,EODC,,,,,1.4697544574737549,0,3.8694686889648438
openeo_eodc_eu_ndvi_median_bratislava_10km_2024_eodc_20250624035002,EODC,,3603.2463006973267,,,1.4869639873504639,0,3606.497383594513
openeo_eodc_eu_ndvi_median_bratislava_10km_2024_eodc_20250624065002,EODC,,3625.4171731472015,,,1.3898239135742188,0,3628.686050891876
openeo_eodc_eu_ndvi_median_bratislava_10km_2024_eodc_20250624095002,EODC,,3629.185251712799,,,1.4188241958618164,0,3632.6458904743195
openeo_eodc_eu_ndvi_median_bratislava_10km_2024_eodc_20250624125000,EODC,,3628.9112861156464,,,2.4777631759643555,0,3633.22776556015
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623110148,VITO,,,,,,0,
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623111627,VITO,,,,,,0,
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623111638,VITO,,,,,,0,
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623112307,VITO,,,,,,0,
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623112340,VITO,,,,,,0,
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623112351,VITO,,,,,,0,
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623160502,VITO,,,,,0.7338998317718506,0,2.311143398284912
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623190502,VITO,,,,,0.804236650466919,0,2.202570676803589
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623214429,VITO,,,,,0.519761323928833,0,2.5767769813537598
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623214549,VITO,,109.29991054534912,,53.715052,0.5654566287994385,0,110.75018262863159
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250623220501,VITO,,437.8500006198883,,384.806891,0.7543914318084717,0,439.7026381492615
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250624040502,VITO,,75.78905129432678,,,0.6773233413696289,0,77.57213497161865
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250624070502,VITO,,137.42727303504944,,54.006426,0.5548088550567627,0,138.9850103855133
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250624100502,VITO,,79.95916366577148,,,0.576113224029541,0,81.65164494514465
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250624130502,VITO,,114.47512316703796,,28.378672,0.7905256748199463,0,116.4208025932312
openeo_vito_be_ndvi_median_bratislava_10km_2024_vito_20250624142158,VITO,,107.07370257377625,,53.880256,0.6216351985931396,0,108.79423427581787
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250623160002,openEO Platform,,,,,0.9349246025085449,0,4.5095436573028564
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250623190002,openEO Platform,,,,,1.0754687786102295,0,9.131593227386475
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250623220002,openEO Platform,,,,,1.5364978313446045,0,4.541345596313477
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250624040002,openEO Platform,,110.66154861450195,,37.838488,0.9299108982086182,0,114.1084156036377
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250624070002,openEO Platform,,79.21636414527893,,,1.3474493026733398,0,82.18865990638733
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250624100002,openEO Platform,,113.9494321346283,,37.060813,3.9307701587677,0,122.51340675354004
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250624130001,openEO Platform,,111.30528926849365,,55.342252,1.3280515670776367,0,114.34995412826538
openeocloud_vito_be_ndvi_median_bratislava_10km_2024_openeo_platform_20250624141925,openEO Platform,,108.63017773628235,,55.583671,1.5129523277282715,0,112.7444441318512
