process,level,experimental,duplicate
absolute,l1,no,no
add,l1,no,no
and,l1,no,no
apply,l1,no,no
apply_dimension,l1,no,no
arccos,l1,no,no
arcsin,l1,no,no
arctan,l1,no,no
array_concat,l1,no,no
array_create,l1,no,no
array_element,l1,no,no
between,l1,no,no
ceil,l1,no,no
clip,l1,no,no
constant,l1,no,no
cos,l1,no,no
divide,l1,no,no
e,l1,no,no
eq,l1,no,no
exp,l1,no,no
first,l1,no,no
floor,l1,no,no
gt,l1,no,no
gte,l1,no,no
int,l1,no,no
last,l1,no,no
ln,l1,no,no
load_collection,l1,no,no
log,l1,no,no
lt,l1,no,no
lte,l1,no,no
max,l1,no,no
mean,l1,no,no
median,l1,no,no
min,l1,no,no
mod,l1,no,no
multiply,l1,no,no
neq,l1,no,no
not,l1,no,no
or,l1,no,no
pi,l1,no,no
power,l1,no,no
product,l1,no,no
quantiles,l1,no,no
reduce_dimension,l1,no,no
round,l1,no,no
save_result,l1,no,no
sd,l1,no,no
sgn,l1,no,no
sin,l1,no,no
sqrt,l1,no,no
subtract,l1,no,no
sum,l1,no,no
tan,l1,no,no
variance,l1,no,no
add_dimension,l2,no,no
aggregate_temporal,l2,no,no
aggregate_temporal_period,l2,no,no
all,l2,no,no
any,l2,no,no
apply_dimension,l2,no,yes
arcosh,l2,no,no
arctan2,l2,no,no
array_element,l2,no,yes
array_find,l2,no,no
arsinh,l2,no,no
artanh,l2,no,no
cosh,l2,no,no
count,l2,no,no
dimension_labels,l2,no,no
drop_dimension,l2,no,no
extrema,l2,no,no
filter_bbox,l2,no,no
filter_temporal,l2,no,no
if,l2,no,no
inspect,l2,yes,no
is_nan,l2,no,no
is_nodata,l2,no,no
is_valid,l2,no,no
linear_scale_range,l2,no,no
nan,l2,yes,no
normalized_difference,l2,no,no
reduce_dimension,l2,no,yes
rename_dimension,l2,no,no
rename_labels,l2,no,no
sinh,l2,no,no
sort,l2,no,no
tanh,l2,no,no
xor,l2,no,no
aggregate_spatial,l2a,no,no
apply_kernel,l2a,no,no
filter_bands,l2a,no,no
filter_spatial,l2a,no,no
load_collection,l2a,no,yes
mask,l2a,no,no
mask_polygon,l2a,no,no
resample_spatial,l2a,no,no
filter_vector,l2b,yes,no
vector_buffer,l2b,yes,no
vector_reproject,l2b,yes,no
date_between,l2-date,yes,no
date_difference,l2-date,yes,no
date_shift,l2-date,yes,no
text_begins,l2-text,no,no
text_concat,l2-text,no,no
text_contains,l2-text,no,no
text_ends,l2-text,no,no
add_dimension,l3,no,yes
aggregate_spatial,l3,no,yes
aggregate_spatial_window,l3,yes,no
aggregate_temporal,l3,no,yes
aggregate_temporal_period,l3,no,yes
apply,l3,no,yes
apply_dimension,l3,no,yes
apply_neighborhood,l3,no,no
array_append,l3,no,no
array_apply,l3,no,no
array_concat,l3,no,yes
array_contains,l3,no,no
array_create_labeled,l3,yes,no
array_filter,l3,no,no
array_find_label,l3,yes,no
array_interpolate_linear,l3,no,no
array_labels,l3,no,no
array_modify,l3,yes,no
cloud_detection,l3,yes,no
count,l3,no,yes
create_data_cube,l3,no,no
cummax,l3,yes,no
cummin,l3,yes,no
cumproduct,l3,yes,no
cumsum,l3,yes,no
filter_bands,l3,no,yes
filter_labels,l3,yes,no
flatten_dimensions,l3,yes,no
is_infinite,l3,yes,no
load_collection,l3,no,yes
load_geojson,l3,yes,no
load_stac,l3,yes,no
merge_cubes,l3,no,no
ndvi,l3,no,no
order,l3,no,no
rearrange,l3,no,no
reduce_dimension,l3,no,yes
reduce_spatial,l3,yes,no
resample_cube_spatial,l3,no,no
resample_cube_temporal,l3,no,no
resample_spatial,l3,no,yes
trim_cube,l3,no,no
unflatten_dimensions,l3,yes,no
vector_to_random_points,l3,yes,no
vector_to_regular_points,l3,yes,no
fit_curve,l3-ml,yes,no
fit_regr_random_forest,l3-ml,no,no
load_ml_model,l3-ml,yes,no
predict_curve,l3-ml,yes,no
save_ml_model,l3-ml,yes,no
run_udf,l3-udf,no,no
run_udf_externally,l3-udf,yes,no
anomaly,l3-clim,no,no
climatological_normal,l3-clim,no,no
ard_normalized_radar_backscatter,l3-ard,yes,no
ard_surface_reflectance,l3-ard,yes,no
aggregate_spatial,l4,no,yes
aggregate_temporal,l4,no,yes
aggregate_temporal_period,l4,no,yes
apply_neighborhood,l4,no,yes
apply_polygon,l4,yes,no
array_apply,l4,no,yes
atmospheric_correction,l4,yes,no
filter_bands,l4,no,yes
filter_bbox,l4,no,yes
load_collection,l4,no,yes
load_stac,l4,yes,yes
load_uploaded_files,l4,yes,no
load_url,l4,yes,no
reduce_dimension,l4,no,yes
reduce_spatial,l4,yes,yes
sar_backscatter,l4,yes,no
