Backends;URL;Timestamp;Response Time (ms);HTTP Code;Reason;Valid;Body Size (bytes)
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750377601.533154;263.18;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750377601.533154;282.37;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750377601.533154;112.64;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750377601.533154;129.96;200;OK;True;270
EO4EU;https://umm-api.apps.eo4eu.eu/EO/.well-known/openeo;1750377601.533154;248.5;200;OK;True;98
eurac;https://openeo.eurac.edu/.well-known/openeo;1750377601.533154;221.88;200;;True;90
earth-engine;https://earthengine.openeo.org/.well-known/openeo;1750377601.533154;144.49;200;OK;True;101
mundialis;https://openeo.mundialis.de/.well-known/openeo;1750377601.533154;109.69;200;OK;True;104
sentinel-hub;https://openeo.sentinel-hub.com/production/.well-known/openeo;1750377601.533154;102.81;200;OK;True;109
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750377601.533154;208.41;200;OK;True;3331
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750377601.533154;212.05;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750377601.533154;585.49;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750377601.533154;153.79;200;OK;True;3469
EO4EU;https://umm-api.apps.eo4eu.eu/EO;1750377601.533154;201.9;200;OK;True;2264
eurac;https://openeo.eurac.edu;1750377601.533154;220.71;200;;True;1709
earth-engine;https://earthengine.openeo.org/v1.0;1750377601.533154;125.05;200;OK;True;3765
mundialis;https://openeo.mundialis.de/api/v1.0;1750377601.533154;168.11;200;OK;True;1497
sentinel-hub;https://openeo.sentinel-hub.com/production;1750377601.533154;111.78;200;OK;True;2587
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750377601.533154;1131.6;200;OK;True;1170374
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750377601.533154;373.68;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750377601.533154;218.43;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750377601.533154;278.29;200;OK;True;1176966
EO4EU;https://umm-api.apps.eo4eu.eu/EO/processes;1750377601.533154;757.89;200;OK;True;145158
eurac;https://openeo.eurac.edu/processes;1750377601.533154;466.83;200;;True;142214
earth-engine;https://earthengine.openeo.org/v1.0/processes;1750377601.533154;184.51;200;OK;True;145158
mundialis;https://openeo.mundialis.de/api/v1.0/processes;1750377601.533154;155.63;200;OK;True;107511
sentinel-hub;https://openeo.sentinel-hub.com/production/processes;1750377601.533154;158.52;200;OK;True;174132
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750377601.533154;217.41;200;OK;True;39406
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750377601.533154;495.98;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750377601.533154;216.31;200;OK;True;311375
vito;https://openeo.vito.be/openeo/collections;1750377601.533154;352.87;200;OK;True;184656
EO4EU;https://umm-api.apps.eo4eu.eu/EO/collections;1750377601.533154;1645.56;200;OK;True;2579286
eurac;https://openeo.eurac.edu/collections;1750377601.533154;600.96;200;;True;267222
earth-engine;https://earthengine.openeo.org/v1.0/collections;1750377601.533154;919.25;200;OK;True;2579286
mundialis;https://openeo.mundialis.de/api/v1.0/collections;1750377601.533154;87.16;200;OK;True;14684
