workflow,extent_size,crs_strategy,total_median_s,total_min_s,total_max_s,n_runs
aggregation,large,local_preprocessing,263.12,191.74,317.53,5
aggregation,large,onthefly,203.68,172.99,234.73,6
aggregation,medium,local_preprocessing,183.15,116.15,198.56,9
aggregation,medium,onthefly,176.46,109.89,298.47,9
aggregation,small,local_preprocessing,126.23,115.37,137.63,9
aggregation,small,onthefly,119.64,104.43,129.15,9
aggregation,xlarge,local_preprocessing,544.06,414.85,551.92,6
aggregation,xlarge,onthefly,307.24,279.42,355.45,6
filter_bbox,large,local_preprocessing,274.18,202.71,296.1,6
filter_bbox,large,onthefly,236.83,176.22,252.48,7
filter_bbox,medium,local_preprocessing,132.25,119.9,215.62,9
filter_bbox,medium,onthefly,144.3,115.19,180.17,9
filter_bbox,small,local_preprocessing,128.16,115.78,160.6,9
filter_bbox,small,onthefly,131.05,110.9,183.8,9
filter_bbox,xlarge,local_preprocessing,390.84,331.35,427.0,3
filter_bbox,xlarge,onthefly,368.13,318.2,412.71,6
focal,large,local_preprocessing,480.26,437.2,614.15,6
focal,large,onthefly,453.86,326.82,539.41,6
focal,medium,local_preprocessing,195.98,180.23,202.69,9
focal,medium,onthefly,176.59,135.14,215.69,9
focal,small,local_preprocessing,135.6,128.0,1124.56,9
focal,small,onthefly,180.1,107.27,237.13,9
focal,xlarge,local_preprocessing,652.06,525.76,909.02,6
focal,xlarge,onthefly,1196.16,1073.78,1259.48,6
mask,large,local_preprocessing,347.58,289.2,384.28,6
mask,large,onthefly,306.76,244.49,395.66,9
mask,medium,local_preprocessing,192.13,130.64,197.4,9
mask,medium,onthefly,177.45,111.92,191.1,9
mask,small,local_preprocessing,126.69,117.46,189.54,9
mask,small,onthefly,128.87,105.19,211.47,9
mask,xlarge,local_preprocessing,614.18,501.47,694.23,6
mask,xlarge,onthefly,598.22,488.45,727.68,6
merge_add,large,local_preprocessing,420.68,340.44,423.13,9
merge_add,large,onthefly,320.4,240.35,427.08,9
merge_add,medium,local_preprocessing,132.74,126.12,194.54,9
merge_add,medium,onthefly,167.32,113.51,184.32,9
merge_add,small,local_preprocessing,126.38,124.27,132.41,9
merge_add,small,onthefly,130.17,115.95,178.15,9
merge_add,xlarge,local_preprocessing,603.6,450.13,782.14,6
merge_add,xlarge,onthefly,660.23,649.86,672.22,3
subtract,large,local_preprocessing,367.88,322.65,429.85,9
subtract,large,onthefly,323.4,244.06,362.75,9
subtract,medium,local_preprocessing,134.31,121.54,170.41,9
subtract,medium,onthefly,123.01,108.36,176.75,9
subtract,small,local_preprocessing,138.75,127.49,194.36,9
subtract,small,onthefly,137.88,111.03,169.35,9
subtract,xlarge,local_preprocessing,589.84,493.05,735.11,6
subtract,xlarge,onthefly,689.9,640.64,976.14,3
