_folder,_backend,download_time [seconds],job_execution_time [seconds],processing_time [seconds],queue_time [seconds],submit_time [seconds],tiff_count [files],total_time [seconds]
earthengine_openeo_org_reducer_mean_bratislava_10km_2024_earthengine_20250623153002,Earth Engine,0.3424034118652344,7.651357650756836,7.524516,,0.15138554573059082,1,8.33043384552002
earthengine_openeo_org_reducer_mean_bratislava_10km_2024_earthengine_20250623183002,Earth Engine,0.39604926109313965,7.631392240524292,7.523567,,0.1525249481201172,1,8.367619276046753
earthengine_openeo_org_reducer_mean_bratislava_10km_2024_earthengine_20250623213003,Earth Engine,0.31914854049682617,7.661132097244263,7.527238,,0.16161799430847168,1,8.351653814315796
earthengine_openeo_org_reducer_mean_bratislava_10km_2024_earthengine_20250624033002,Earth Engine,0.27698469161987305,7.636391878128052,7.526728,,0.17938542366027832,1,8.309237003326416
earthengine_openeo_org_reducer_mean_bratislava_10km_2024_earthengine_20250624063002,Earth Engine,0.3602027893066406,7.654065847396851,7.525523,,0.15806818008422852,1,8.379726648330688
earthengine_openeo_org_reducer_mean_bratislava_10km_2024_earthengine_20250624093002,Earth Engine,0.3032810688018799,7.635433912277222,7.525218,,0.16914725303649902,1,8.35923433303833
earthengine_openeo_org_reducer_mean_bratislava_10km_2024_earthengine_20250624123002,Earth Engine,0.267822265625,19.264442920684814,19.150376,,0.15009713172912598,1,19.873476266860962
openeo_dataspace_copernicus_eu_reducer_mean_bratislava_10km_2024_cdse_20250623152001,CDSE,8.882211446762085,437.28331303596497,331.540442,,0.46753430366516113,1,447.71587109565735
openeo_dataspace_copernicus_eu_reducer_mean_bratislava_10km_2024_cdse_20250623182002,CDSE,10.95179271697998,438.3918776512146,301.461459,,0.3791162967681885,1,450.6662497520447
openeo_dataspace_copernicus_eu_reducer_mean_bratislava_10km_2024_cdse_20250623212004,CDSE,,466.2437946796417,361.51036,,0.42403411865234375,0,469.30375576019287
openeo_dataspace_copernicus_eu_reducer_mean_bratislava_10km_2024_cdse_20250624032002,CDSE,11.209752082824707,286.627161026001,180.750899,,0.46523022651672363,1,299.3109064102173
openeo_dataspace_copernicus_eu_reducer_mean_bratislava_10km_2024_cdse_20250624062002,CDSE,9.331937789916992,287.9375510215759,238.559282,,0.35462141036987305,1,298.67436504364014
openeo_dataspace_copernicus_eu_reducer_mean_bratislava_10km_2024_cdse_20250624092002,CDSE,9.534009456634521,347.7197058200836,150.843941,,2.0482234954833984,1,360.13868594169617
openeo_dataspace_copernicus_eu_reducer_mean_bratislava_10km_2024_cdse_20250624122002,CDSE,8.601923704147339,255.25247836112976,181.027209,,0.3695666790008545,1,265.11452293395996
openeo_eodc_eu_reducer_mean_bratislava_10km_2024_eodc_20250623152502,EODC,,,,,1.4994192123413086,0,3.940401315689087
openeo_eodc_eu_reducer_mean_bratislava_10km_2024_eodc_20250623182502,EODC,,,,,1.6264913082122803,0,4.1385579109191895
openeo_eodc_eu_reducer_mean_bratislava_10km_2024_eodc_20250623212501,EODC,,,,,1.566032886505127,0,3.95780611038208
openeo_eodc_eu_reducer_mean_bratislava_10km_2024_eodc_20250624032502,EODC,,3625.446740627289,,,2.076761245727539,0,3629.5088155269623
openeo_eodc_eu_reducer_mean_bratislava_10km_2024_eodc_20250624062501,EODC,,3624.1100945472717,,,1.4575257301330566,0,3627.7487483024597
openeo_eodc_eu_reducer_mean_bratislava_10km_2024_eodc_20250624092502,EODC,,3626.915251016617,,,1.508779764175415,0,3630.1539006233215
openeo_eodc_eu_reducer_mean_bratislava_10km_2024_eodc_20250624122502,EODC,,3626.5724744796753,,,1.512009620666504,0,3630.1665468215942
openeo_vito_be_reducer_mean_bratislava_10km_2024_vito_20250622230753,VITO,5.235802888870239,499.9502213001251,180.584707,302.483487,0.5674557685852051,1,506.63242173194885
openeo_vito_be_reducer_mean_bratislava_10km_2024_vito_20250623154002,VITO,,,,,0.9072818756103516,0,2.380467176437378
