_folder,_backend,download_time [seconds],job_execution_time [seconds],processing_time [seconds],queue_time [seconds],submit_time [seconds],tiff_count [files],total_time [seconds]
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250623144001,Earth Engine,0.3277153968811035,19.0458505153656,18.918041,,0.16317272186279297,1,19.734301805496216
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250623174002,Earth Engine,0.28249263763427734,18.98852801322937,18.859423,,0.15350627899169922,1,19.725030422210693
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250623204002,Earth Engine,0.2794971466064453,18.98621153831482,18.877271,,0.15534305572509766,1,19.670307397842407
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250623234002,Earth Engine,0.26607513427734375,7.635629177093506,7.524926,,0.16151905059814453,1,8.273506879806519
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250624024002,Earth Engine,0.3233318328857422,7.656972169876099,7.52646,,0.1696796417236328,1,8.42317247390747
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250624054002,Earth Engine,0.3358609676361084,19.0173180103302,18.870243,,0.15456271171569824,1,19.77935767173767
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250624084002,Earth Engine,0.34955859184265137,7.633782386779785,7.524818,,0.16199779510498047,1,8.458810091018677
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250624114001,Earth Engine,0.30125856399536133,19.15748953819275,19.037274,,0.1553952693939209,1,19.81866192817688
earthengine_openeo_org_reducer_mean_vienna_10km_2024_earthengine_20250624144001,Earth Engine,0.3611717224121094,7.659639358520508,7.527193,,0.16843676567077637,1,8.393205404281616
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250622115127,CDSE,9.367189645767212,225.6286735534668,176.155858,,0.500971794128418,1,236.38209295272827
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250623143002,CDSE,10.570952415466309,436.63359093666077,361.570432,,0.47483277320861816,1,448.66226077079773
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250623173002,CDSE,7.9336488246917725,349.90112352371216,240.985296,,2.481572151184082,1,361.2782690525055
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250623203002,CDSE,10.486414194107056,225.69028282165527,176.072732,,0.3887794017791748,1,237.63250946998596
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250623233002,CDSE,9.45761489868164,255.35753273963928,150.650226,91.741989,0.47113895416259766,1,266.2361030578613
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250624023002,CDSE,13.042853355407715,225.08720231056213,120.521351,83.964832,0.37746524810791016,1,239.32595348358154
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250624053001,CDSE,11.902028560638428,256.6699151992798,150.654309,,0.7995977401733398,1,270.32564783096313
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250624083002,CDSE,9.736606121063232,412.7734136581421,217.258365,,2.2928946018218994,1,425.70849108695984
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250624113002,CDSE,9.835835456848145,376.80731892585754,271.179373,,0.3733212947845459,1,387.8673334121704
openeo_dataspace_copernicus_eu_reducer_mean_vienna_10km_2024_cdse_20250624143001,CDSE,10.42997145652771,226.1574318408966,120.700742,,0.4746100902557373,1,238.08363962173462
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250623143502,EODC,,3629.566174507141,,,1.7824344635009766,0,3633.080986261368
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250623173502,EODC,,,,,1.8920133113861084,0,4.531881332397461
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250623203502,EODC,,,,,1.9640872478485107,0,5.085249423980713
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250623233502,EODC,,3609.195301771164,,,2.000570058822632,0,3613.4084606170654
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250624023502,EODC,,3629.3785581588745,,,1.655289649963379,0,3632.8826081752777
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250624053502,EODC,,3629.1771523952484,,,1.8709993362426758,0,3632.985667705536
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250624083502,EODC,,3629.0383751392365,,,3.037090301513672,0,3633.928552865982
openeo_eodc_eu_reducer_mean_vienna_10km_2024_eodc_20250624113502,EODC,,3629.6915924549103,,,2.7707908153533936,0,3634.3797931671143
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250622230252,VITO,3.895169496536255,260.0702967643738,180.553851,53.710554,0.883246898651123,1,265.7840025424957
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250623145002,VITO,2.166987657546997,290.5530152320862,180.641084,84.66386,0.7235283851623535,1,294.1929340362549
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250623175001,VITO,,,,,0.917083740234375,0,2.6518285274505615
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250623205002,VITO,,,,,0.5077576637268066,0,1.9747610092163086
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250623235001,VITO,3.55595064163208,257.2050654888153,150.587936,84.180812,0.8450846672058105,1,263.01334023475647
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250624025001,VITO,3.9792628288269043,256.3458981513977,180.582459,53.678976,0.5229856967926025,1,261.8141837120056
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250624055002,VITO,2.812861680984497,255.09340906143188,180.55903,53.72551,0.5372552871704102,1,259.4359838962555
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250624085002,VITO,4.069330930709839,286.15530252456665,210.782312,53.701354,0.5603806972503662,1,292.1701726913452
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250624115001,VITO,3.3372719287872314,258.9289901256561,180.620232,53.703958,0.5107378959655762,1,263.7401406764984
openeo_vito_be_reducer_mean_vienna_10km_2024_vito_20250624145002,VITO,3.831137180328369,351.2422490119934,240.926343,84.124773,0.8389878273010254,1,357.32011556625366
openeocloud_vito_be_reducer_mean_vienna_10km_2024_openeo_platform_20250623144502,openEO Platform,2.4329583644866943,234.67523312568665,151.782849,63.791083,0.779808521270752,1,239.11682438850403
openeocloud_vito_be_reducer_mean_vienna_10km_2024_openeo_platform_20250623174501,openEO Platform,,,,,2.6077823638916016,0,5.194397449493408
openeocloud_vito_be_reducer_mean_vienna_10km_2024_openeo_platform_20250623204502,openEO Platform,,,,,1.2890803813934326,0,4.4807751178741455
openeocloud_vito_be_reducer_mean_vienna_10km_2024_openeo_platform_20250623234501,openEO Platform,2.3716824054718018,294.27493476867676,214.098319,64.855578,2.4713103771209717,1,300.8205134868622
openeocloud_vito_be_reducer_mean_vienna_10km_2024_openeo_platform_20250624024501,openEO Platform,2.0818028450012207,292.2214720249176,212.233223,55.047523,1.1383183002471924,1,297.2108371257782
openeocloud_vito_be_reducer_mean_vienna_10km_2024_openeo_platform_20250624054501,openEO Platform,1.8571538925170898,289.91467237472534,212.048019,54.69644,0.8782000541687012,1,293.90510630607605
