run_id,scenario,workflow,extent_size,dataset,resolution_m,backend
879,local_reference_berlin,merge_add,medium,dem,10.0,cdse
886,local_reference_berlin,subtract,medium,dem,10.0,cdse
893,local_reference_berlin,mask,medium,dem,10.0,cdse
900,local_reference_berlin,aggregation,medium,dem,10.0,cdse
907,local_reference_berlin,focal,medium,dem,10.0,cdse
914,local_reference_berlin,resample,medium,dem,10.0,cdse
921,local_reference_berlin,filter_bbox,medium,dem,10.0,cdse
930,local_reference_hamburg,merge_add,medium,dem,10.0,cdse
937,local_reference_hamburg,subtract,medium,dem,10.0,cdse
944,local_reference_hamburg,mask,medium,dem,10.0,cdse
951,local_reference_hamburg,aggregation,medium,dem,10.0,cdse
958,local_reference_hamburg,focal,medium,dem,10.0,cdse
965,local_reference_hamburg,resample,medium,dem,10.0,cdse
972,local_reference_hamburg,filter_bbox,medium,dem,10.0,cdse
985,local_reference_amsterdam,merge_add,medium,dem,10.0,cdse
1010,local_reference_kapstadt,merge_add,medium,dem,10.0,cdse
1017,local_reference_tokio,merge_add,medium,dem,10.0,cdse
1024,local_reference_wien,merge_add,medium,dem,10.0,cdse
1031,local_reference_newyork,merge_add,medium,dem,10.0,cdse
1038,local_reference_zuerich,merge_add,medium,dem,10.0,cdse
1045,local_reference_berlin,merge_add,small,dem,10.0,cdse
1062,local_reference_berlin,merge_add,large,dem,10.0,cdse
1126,local_reference_berlin,lc_overlay,medium,landcover,10.0,cdse
1204,local_reference_berlin,merge_add,medium,dem,10.0,cdse
1205,local_reference_berlin,subtract,medium,dem,10.0,cdse
1206,local_reference_berlin,focal,medium,dem,10.0,cdse
1207,local_reference_berlin,aggregation,medium,dem,10.0,cdse
1208,local_reference_berlin,mask,medium,dem,10.0,cdse
1209,local_reference_berlin,filter_bbox,medium,dem,10.0,cdse
1210,local_reference_berlin,resample,medium,dem,10.0,cdse
