Backend,URL,Success Ratio (%),Average Response Time (ms),Response Time StdDev (ms),Normalized Response Time (ms/Kbyte),Normalized Time StdDev (ms/Kbyte)
EO4EU,https://umm-api.apps.eo4eu.eu/EO,100.00,206.26,19.91,93.293004,9.002993
EO4EU,https://umm-api.apps.eo4eu.eu/EO/.well-known/openeo,100.00,205.65,2.62,2148.832653,27.337614
EO4EU,https://umm-api.apps.eo4eu.eu/EO/collections,100.00,922.99,36.58,0.366433,0.014522
EO4EU,https://umm-api.apps.eo4eu.eu/EO/processes,100.00,660.34,162.31,4.658291,1.144992
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/.well-known/openeo,100.00,220.42,37.87,709.764318,121.948074
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/openeo,99.09,248.00,86.33,75.831962,26.395858
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/openeo/collections,100.00,187.25,44.96,4.875533,1.170801
copernicus-dataspace,https://openeo.dataspace.copernicus.eu/openeo/processes,100.00,1209.93,272.63,1.059726,0.238781
earth-engine,https://earthengine.openeo.org/.well-known/openeo,100.00,132.75,0.11,1345.900990,1.147053
earth-engine,https://earthengine.openeo.org/v1.0,100.00,128.38,1.25,34.917992,0.340403
earth-engine,https://earthengine.openeo.org/v1.0/collections,100.00,518.23,15.05,0.205740,0.005977
earth-engine,https://earthengine.openeo.org/v1.0/processes,100.00,190.92,6.29,1.346787,0.044345
eodc,https://openeo.eodc.eu/.well-known/openeo,100.00,267.34,303.27,1456.145826,1651.855755
eodc,https://openeo.eodc.eu/openeo/1.2.0,100.00,202.71,19.48,62.297906,5.987749
eodc,https://openeo.eodc.eu/openeo/1.2.0/collections,100.00,560.28,69.80,3.650728,0.454841
eodc,https://openeo.eodc.eu/openeo/1.2.0/processes,100.00,420.61,26.74,1.250183,0.079492
eurac,https://openeo.eurac.edu,100.00,205.39,14.84,123.068742,8.893144
eurac,https://openeo.eurac.edu/.well-known/openeo,100.00,199.54,27.63,2270.321778,314.410473
eurac,https://openeo.eurac.edu/collections,100.00,430.13,71.68,1.648286,0.274677
eurac,https://openeo.eurac.edu/processes,100.00,356.93,55.04,2.570045,0.396319
mundialis,https://openeo.mundialis.de/.well-known/openeo,100.00,129.63,29.13,1276.356923,286.846025
mundialis,https://openeo.mundialis.de/api/v1.0,100.00,114.46,3.52,78.294616,2.408754
mundialis,https://openeo.mundialis.de/api/v1.0/collections,100.00,87.16,0.29,6.078518,0.020217
mundialis,https://openeo.mundialis.de/api/v1.0/processes,100.00,153.70,3.78,1.463932,0.035964
openeo-platform,https://openeocloud.vito.be/.well-known/openeo,100.00,103.02,11.87,370.152646,42.635663
openeo-platform,https://openeocloud.vito.be/openeo/1.2,100.00,430.75,249.00,116.383409,67.275868
openeo-platform,https://openeocloud.vito.be/openeo/1.2/collections,100.00,222.91,147.51,0.731915,0.482910
openeo-platform,https://openeocloud.vito.be/openeo/1.2/processes,100.00,237.51,46.88,0.714529,0.141039
sentinel-hub,https://openeo.sentinel-hub.com/production,100.00,96.56,8.03,38.218910,3.176760
sentinel-hub,https://openeo.sentinel-hub.com/production/.well-known/openeo,100.00,70.00,2.98,657.567706,27.966657
sentinel-hub,https://openeo.sentinel-hub.com/production/collections,100.00,174.07,79.29,1.268089,0.577591
sentinel-hub,https://openeo.sentinel-hub.com/production/processes,100.00,136.70,13.10,0.803907,0.077052
vito,https://openeo.vito.be/.well-known/openeo,100.00,100.56,11.37,381.394144,43.112569
vito,https://openeo.vito.be/openeo,100.00,150.16,16.16,44.097700,4.746618
vito,https://openeo.vito.be/openeo/collections,100.00,200.50,106.02,1.110224,0.589479
vito,https://openeo.vito.be/openeo/processes,100.00,366.49,104.89,0.318862,0.091256
